created_at,vendor_name,brand_name,title,sku,handle,inventory_quantity,original_price,discounted_price,category_names,image_links,main_category
58:21.7,Qcommerce,Apple,PTA Approval Service iPhone 16 Pro Max,PTA Approval 770-30,pta-approval-service-iphone-16-pro-max-498,9999,168293,168293,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338992858355_130525155819482237.jpg,Mobile Phones & Tablets
58:18.8,Qcommerce,Apple,PTA Approval Service iPhone 16 Pro,PTA Approval 770-29,pta-approval-service-iphone-16-pro-499,9999,151293,151293,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338960609434_130525155816382566.jpg,Mobile Phones & Tablets
58:15.5,Qcommerce,Apple,PTA Approval Service iPhone 16 Plus,PTA Approval 770-28,pta-approval-service-iphone-16-plus-448,9999,145498,145498,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338926555436_130525155813171082.jpg,Mobile Phones & Tablets
58:11.8,Qcommerce,Apple,PTA Approval Service iPhone 16,PTA Approval 770-27,pta-approval-service-iphone-16-498,9999,133150,133150,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/1747133889206376_130525155809412029.jpg,Mobile Phones & Tablets
58:08.4,Qcommerce,Apple,PTA Approval Service iPhone 15 Pro Max,PTA Approval 770-26,pta-approval-service-iphone-15-pro-max-498,9999,161393,161393,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338849510584_130525155805309670.jpg,Mobile Phones & Tablets
58:04.3,Qcommerce,Apple,PTA Approval Service iPhone 15 Pro,PTA Approval 770-25,pta-approval-service-iphone-15-pro-498,9999,148498,148498,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/1747133881439634_130525155801618137.jpg,Mobile Phones & Tablets
58:00.8,Qcommerce,Apple,PTA Approval Service iPhone 15 Plus,PTA Approval 770-24,pta-approval-service-iphone-15-plus-498,9999,136498,136498,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/1747133877563903_130525155758020950.jpg,Mobile Phones & Tablets
57:56.9,Qcommerce,Apple,PTA Approval Service iPhone 15,PTA Approval 770-23,pta-approval-service-iphone-15-499,9999,126188,126188,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338738409247_130525155754128843.jpg,Mobile Phones & Tablets
57:53.4,Qcommerce,Apple,PTA Approval Service iPhone 14 Pro Max,PTA Approval 770-22,pta-approval-service-iphone-14-pro-max-500,9999,143693,143693,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338708771398_130525155751059647.jpg,Mobile Phones & Tablets
57:50.4,Qcommerce,Apple,PTA Approval Service iPhone 14 Pro,PTA Approval 770-21,pta-approval-service-iphone-14-pro-499,9999,137993,137993,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338675997007_130525155747911307.jpg,Mobile Phones & Tablets
57:47.0,Qcommerce,Apple,PTA Approval Service iPhone 14 Plus,PTA Approval 770-20,pta-approval-service-iphone-14-plus-498,9999,138698,138698,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338642862139_130525155744633278.jpg,Mobile Phones & Tablets
57:43.8,Qcommerce,Apple,PTA Approval Service iPhone 14,PTA Approval 770-19,pta-approval-service-iphone-14-499,9999,123838,123838,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/1747133861253469_130525155741434475.jpg,Mobile Phones & Tablets
57:40.7,Qcommerce,Apple,PTA Approval Service iPhone 13 Pro Max,PTA Approval 770-18,pta-approval-service-iphone-13-pro-max-499,9999,124293,124293,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338579256878_130525155738117633.jpg,Mobile Phones & Tablets
57:37.5,Qcommerce,Apple,PTA Approval Service iPhone 13 Pro,PTA Approval 770-17,pta-approval-service-iphone-13-pro-497,9999,120598,120598,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/1747133854148556_130525155734867179.jpg,Mobile Phones & Tablets
57:33.1,Qcommerce,Apple,PTA Approval Service iPhone 13 Plus,PTA Approval 770-16,pta-approval-service-iphone-13-plus-497,9999,120298,120298,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338491966243_130525155729495590.jpg,Mobile Phones & Tablets
57:28.7,Qcommerce,Apple,PTA Approval Service iPhone 13 Mini,PTA Approval 770-14,pta-approval-service-iphone-13-mini-497,9999,105599,105599,"Mobile Phones & Tablets, PTA Approval, PTA Iphone, PTA Samsung",https://cdn.comverseglobal.com/alfa/products/product_images/17471338457910976_130525155726008193.jpg,Mobile Phones & Tablets
